Day,Count
2021-01-01,1
2021-01-03,2
2021-01-04,5
2021-01-05,6
2021-01-06,13
2021-01-07,20
2021-01-08,21
2021-01-09,6
2021-01-10,2
2021-01-11,9
2021-01-12,9
2021-01-13,9
2021-01-14,10
2021-01-15,15
2021-01-16,2
2021-01-17,3
2021-01-18,11
2021-01-19,41
2021-01-20,37
2021-01-21,16
2021-01-22,23
2021-01-23,26
2021-01-24,15
2021-01-25,22
2021-01-26,37
2021-01-27,31
2021-01-28,15
2021-01-29,18
2021-01-30,2
2021-02-01,19
2021-02-02,27
2021-02-03,22
2021-02-04,12
2021-02-05,8
2021-02-06,4
2021-02-07,4
2021-02-08,8
2021-02-09,28
2021-02-10,16
2021-02-11,16
2021-02-12,12
2021-02-13,2
2021-02-14,6
2021-02-15,28
2021-02-16,41
2021-02-17,25
2021-02-18,14
2021-02-19,25
2021-02-20,14
2021-02-21,14
2021-02-22,37
2021-02-23,21
2021-02-24,33
2021-02-25,27
2021-02-26,22
2021-02-27,4
2021-02-28,4
2021-03-01,15
2021-03-02,30
2021-03-03,45
2021-03-04,17
2021-03-05,28
2021-03-06,9
2021-03-07,17
2021-03-08,25
2021-03-09,35
2021-03-10,11
2021-03-11,14
2021-03-12,18
2021-03-13,1
2021-03-14,5
2021-03-15,15
2021-03-16,26
2021-03-17,14
2021-03-18,6
2021-03-19,7
2021-03-20,11
2021-03-21,4
2021-03-22,10
2021-03-23,14
2021-03-24,3
2021-03-25,8
2021-03-26,15
2021-03-27,4
2021-03-28,9
2021-03-29,26
2021-03-30,15
2021-03-31,12
2021-04-01,19
2021-04-02,18
2021-04-03,6
2021-04-04,3
2021-04-05,19
2021-04-06,14
2021-04-07,22
2021-04-08,15
2021-04-09,29
2021-04-10,5
2021-04-11,5
2021-04-12,29
2021-04-13,14
2021-04-14,14
2021-04-15,29
2021-04-16,19
2021-04-17,5
2021-04-18,7
2021-04-19,18
2021-04-20,32
2021-04-21,23
2021-04-22,24
2021-04-23,18
2021-04-24,12
2021-04-25,10
2021-04-26,42
2021-04-27,22
2021-04-28,29
2021-04-29,22
2021-04-30,17
2021-05-01,11
2021-05-02,7
2021-05-03,38
2021-05-04,35
2021-05-05,44
2021-05-06,16
2021-05-07,59
2021-05-08,11
2021-05-09,4
2021-05-10,31
2021-05-11,53
2021-05-12,24
2021-05-13,48
2021-05-14,18
2021-05-15,42
2021-05-16,35
2021-05-17,68
2021-05-18,62
2021-05-19,59
2021-05-20,89
2021-05-21,82
2021-05-22,51
2021-05-23,21
2021-05-24,78
2021-05-25,68
2021-05-26,98
2021-05-27,90
2021-05-28,54
2021-05-29,67
2021-05-30,34
2021-05-31,74
2021-06-01,65
2021-06-02,56
2021-06-03,48
2021-06-04,78
2021-06-05,67
2021-06-06,91
2021-06-07,36
2021-06-08,27
2021-06-09,31
2021-06-10,34
2021-06-11,35
2021-06-12,14
2021-06-13,8
2021-06-14,70
2021-06-15,39
2021-06-16,48
2021-06-17,49
2021-06-18,58
2021-06-19,16
2021-06-20,27
2021-06-21,72
2021-06-22,52
2021-06-23,47
2021-06-24,59
2021-06-25,40
2021-06-26,4
2021-06-27,14
2021-06-28,52
2021-06-29,48
2021-06-30,73
2021-07-01,63
2021-07-02,77
2021-07-03,14
2021-07-04,13
2021-07-05,41
2021-07-06,41
2021-07-07,47
2021-07-08,57
2021-07-09,48
2021-07-10,28
2021-07-11,24
2021-07-12,55
2021-07-13,54
2021-07-14,61
2021-07-15,36
2021-07-16,69
2021-07-17,22
2021-07-18,26
2021-07-19,53
2021-07-20,37
2021-07-21,36
2021-07-22,32
2021-07-23,35
2021-07-24,22
2021-07-25,31
2021-07-26,69
2021-07-27,69
2021-07-28,55
2021-07-29,58
2021-07-30,79
2021-07-31,82
2021-08-01,42
2021-08-02,102
2021-08-03,71
2021-08-04,80
2021-08-05,85
2021-08-06,77
2021-08-07,28
2021-08-08,25
2021-08-09,73
2021-08-10,159
2021-08-11,94
2021-08-12,77
2021-08-13,60
2021-08-14,30
2021-08-15,31
2021-08-16,89
2021-08-17,71
2021-08-18,95
2021-08-19,86
2021-08-20,102
2021-08-21,40
2021-08-22,49
2021-08-23,72
2021-08-24,67
2021-08-25,107
2021-08-26,84
2021-08-27,88
2021-08-28,46
2021-08-29,58
2021-08-30,85
2021-08-31,95
2021-09-01,102
2021-09-02,115
2021-09-03,93
2021-09-04,27
2021-09-05,35
2021-09-06,79
2021-09-07,82
2021-09-08,96
2021-09-09,96
2021-09-10,107
2021-09-11,58
2021-09-12,62
2021-09-13,74
2021-09-14,75
2021-09-15,111
2021-09-16,77
2021-09-17,55
2021-09-18,39
2021-09-19,46
2021-09-20,81
2021-09-21,103
2021-09-22,112
2021-09-23,93
2021-09-24,123
2021-09-25,100
2021-09-26,148
2021-09-27,123
2021-09-28,89
2021-09-29,104
2021-09-30,142
2021-10-01,192
2021-10-02,72
2021-10-03,74
2021-10-04,120
2021-10-05,108
2021-10-06,106
2021-10-07,69
2021-10-08,77
2021-10-09,52
2021-10-10,23
2021-10-11,97
2021-10-12,100
2021-10-13,92
2021-10-14,92
2021-10-15,115
2021-10-16,68
2021-10-17,49
2021-10-18,145
2021-10-19,75
2021-10-20,84
2021-10-21,144
2021-10-22,96
2021-10-23,155
2021-10-24,145
2021-10-25,83
2021-10-26,49
2021-10-27,51
2021-10-28,124
2021-10-29,190
2021-10-30,150
2021-10-31,197
2021-11-01,109
2021-11-02,187
2021-11-03,122
2021-11-04,136
2021-11-05,148
2021-11-06,109
2021-11-07,127
2021-11-08,166
2021-11-09,121
2021-11-10,123
2021-11-11,122
2021-11-12,138
